,Date,Low,High,Close,Open
2644,2015-06-23,845.4713,857.1041,848.2632,851.9857
2643,2015-06-22,845.4713,856.6388,850.5897,855.2428
2642,2015-06-19,843.1447,854.3122,843.1447,851.5203
2641,2015-06-18,841.1625,854.5542,845.9366,852.451
2640,2015-06-17,853.3816,881.3003,854.7775,876.6472
2639,2015-06-16,865.824,879.0668,876.1819,878.0431
2638,2015-06-15,878.9737,902.1369,879.439,897.5862
2637,2015-06-12,897.1209,912.4762,902.7046,908.7537
2636,2015-06-11,911.4246,926.9008,913.4068,913.8721
2635,2015-06-10,889.2106,917.8877,915.7334,894.7943
2634,2015-06-09,889.2106,902.2393,895.2596,898.0515
2633,2015-06-08,895.2596,904.5659,898.5168,901.774
2632,2015-06-05,896.1903,909.219,904.1006,901.774
2631,2015-06-04,900.3781,920.8518,905.0312,916.664
2630,2015-06-03,912.4762,925.9702,918.5252,921.3171
2629,2015-06-02,914.0583,933.4152,918.5252,933.4152
2628,2015-06-01,925.0396,937.3983,928.2968,928.2968
2627,2015-05-29,924.109,944.5827,928.7621,944.5827
2626,2015-05-28,940.8602,952.0277,944.5827,943.6521
2625,2015-05-27,934.3737,950.1664,947.3745,937.1377
2624,2015-05-26,935.2764,951.097,938.9989,948.3052
2623,2015-05-22,935.2764,953.8889,948.3052,939.9296
2622,2015-05-21,927.3661,942.7214,940.8602,931.554
2621,2015-05-20,933.4152,947.3745,934.3458,942.7214
2620,2015-05-19,933.4152,950.1664,938.9989,941.7908
2619,2015-05-18,932.4846,949.2358,939.9296,941.7908
2618,2015-05-15,936.2071,949.2358,942.7214,943.6521
2617,2015-05-14,930.6233,944.5827,942.7214,936.2071
2616,2015-05-13,930.6233,943.6521,935.2764,935.2764
2615,2015-05-12,929.9998,952.0277,935.2764,947.3745
2614,2015-05-11,943.3356,958.8584,949.2358,952.0277
2613,2015-05-08,945.5133,966.9921,958.542,958.542
2612,2015-05-07,925.5049,953.8889,946.4439,949.2358
2611,2015-05-06,945.5133,968.1647,952.0277,959.4727
2610,2015-05-05,963.1951,987.3914,963.1951,986.4607
2609,2015-05-01,959.1562,972.5014,970.6401,971.5708
2608,2015-04-30,952.0277,974.3626,973.432,958.542
2607,2015-04-29,957.295,978.0851,958.542,970.6401
2606,2015-04-28,961.3339,976.2239,965.987,975.2932
2605,2015-04-27,964.1258,984.5995,980.877,976.2239
2604,2015-04-24,965.987,978.0851,977.1545,965.987
2603,2015-04-23,959.4727,982.7382,963.1951,979.9464
2602,2015-04-22,950.2361,974.1068,962.1715,958.499
2601,2015-04-21,902.4948,930.956,924.5293,902.4948
2600,2015-04-20,896.5271,908.9215,901.5767,898.3633
2599,2015-04-17,891.4776,921.3159,898.3633,898.8224
2598,2015-04-16,891.4776,909.8396,899.7405,909.8396
2597,2015-04-15,893.7728,908.0493,905.7082,896.5271
2596,2015-04-14,885.5099,896.0681,893.7728,885.5099
